"","tm","attendance","attend_per_game","batage","page","bpf","ppf","n_hof","n_aallstars","n_a_ta_s","est_payroll","time","managers","year","g","w","wins_losses"
"721","MIL",1608509,19858,"29.7","31.2","96","97","4","1","10",NA,"2:41","Lachemann",1984,161,67,0.416
"722","MIN",1598692,19737,"25.8","27.2","104","105","1","1","10",NA,"2:32","Gardner",1984,162,81,0.5
"723","MON",1606531,19834,"28.8","27.8","96","96","2","4","9",NA,"2:39","Virdon and Fanning",1984,161,78,0.484
"724","NYM",1842695,22749,"27.2","25.2","99","99","0","4","12",9425000,"2:41","Johnson",1984,162,90,0.556
"725","NYY",1821815,22492,"29.5","29.8","96","95","2","3","17",15868393,"2:44","Berra",1984,162,87,0.537
"726","OAK",1353281,16707,"29.8","27.5","92","93","2","2","11",NA,"2:45","Boros and Moore",1984,162,77,0.475
"727","PHI",2062693,25465,"28.8","31.9","102","101","2","3","15",NA,"2:36","Owens",1984,162,81,0.5
"728","PIT",773500,9549,"28.3","28.9","100","101","0","1","10",4425833,"2:34","Tanner",1984,162,75,0.463
"729","SDP",1983904,24493,"28.3","27.6","100","100","2","3","9",NA,"2:33","Williams",1984,162,92,0.568
"730","SEA",870372,10745,"27.0","26.1","98","99","0","1","11",NA,"2:47","Crandall and Cottier",1984,162,74,0.457
"731","SFG",1001545,12365,"29.0","27.4","97","98","0","2","15",NA,"2:47","Robinson and Ozark",1984,162,66,0.407
"732","STL",2037448,25154,"28.2","27.0","98","97","2","3","11",NA,"2:33","Herzog",1984,162,84,0.518
"733","TEX",1102471,13781,"28.4","29.2","103","103","0","1","9",NA,"2:33","Rader",1984,161,69,0.429
"734","TOR",2110009,26049,"27.7","27.8","104","103","0","3","12",NA,"2:42","Cox",1984,163,89,0.549
"735","ATL",1350137,16668,"28.1","28.8","105","106","1","1","12",14807000,"2:37","Haas and Wine",1985,162,66,0.407
"736","BAL",2132387,26326,"29.6","28.9","97","97","2","2","10",12085712,"2:50","Altobelli, Ripken and Weaver",1985,161,83,0.515
"737","BOS",1786633,22057,"29.4","26.8","104","103","2","3","12",10897560,"2:55","McNamara",1985,163,81,0.5
"738","CAL",2567427,32499,"32.1","28.3","100","100","3","1","17",14427894,"2:51","Mauch",1985,162,90,0.556
"739","CHC",2161534,26686,"30.2","28.4","110","110","2","1","16",12702917,"2:45","Frey",1985,162,77,0.478
"740","CHW",1669888,20616,"27.7","28.7","104","104","2","2","9",9846178,"2:53","La Russa",1985,163,85,0.525
"741","CIN",1834619,22650,"31.5","26.4","104","104","1","2","13",8359917,"2:33","Rose",1985,162,89,0.553
"742","CLE",655181,8089,"28.0","27.4","99","100","1","1","9",6551666,"2:51","Corrales",1985,162,60,0.37
"743","DET",2286609,28230,"29.5","29.1","99","98","0","6","11",10348143,"2:50","Anderson",1985,161,84,0.522
"744","HOU",1184314,14621,"29.9","31.4","97","96","1","2","14",9993051,"2:37","Lillis",1985,162,83,0.512
"745","KCR",2162717,26375,"30.7","26.1","99","99","1","1","13",10565346,"2:43","Howser",1985,162,91,0.562
"746","LAD",3264593,40304,"27.7","28.0","96","96","0","2","15",10967917,"2:43","Lasorda",1985,162,95,0.586
"747","MIL",1360265,17003,"29.9","30.3","99","100","3","2","8",11284107,"2:44","Bamberger",1985,161,71,0.441
"748","MIN",1651814,19664,"26.4","28.1","105","105","2","1","12",5764821,"2:42","Gardner and Miller",1985,162,77,0.475
"749","MON",1502494,18549,"27.7","27.5","95","95","1","3","9",9470166,"2:41","Rodgers",1985,161,84,0.522
"750","NYM",2761601,34094,"28.1","24.7","99","97","1","4","17",10834762,"2:49","Johnson",1985,162,98,0.605
"751","NYY",2214587,27682,"28.8","30.9","98","97","3","3","13",14238204,"2:53","Berra and Martin",1985,161,97,0.603
"752","OAK",1334599,16894,"29.5","28.9","92","92","1","1","12",9058606,"2:50","Moore",1985,162,77,0.475
"753","PHI",1830350,22597,"27.9","30.2","103","103","2","2","15",10644966,"2:37","Felske",1985,162,75,0.463
"754","PIT",735900,9199,"28.2","28.5","99","100","0","1","13",9267500,"2:40","Tanner",1985,161,57,0.354
"755","SDP",2210352,27288,"29.7","28.2","99","98","2","7","9",11191583,"2:30","Williams",1985,162,83,0.512
"756","SEA",1128696,13599,"26.9","26.1","100","101","0","1","12",4613000,"2:52","Cottier",1985,162,74,0.457
"757","SFG",818697,10107,"27.7","27.7","95","96","0","1","13",8221714,"2:37","Davenport and Craig",1985,162,62,0.383
"758","STL",2637563,32563,"27.7","29.0","100","99","1","5","14",11817083,"2:43","Herzog",1985,162,101,0.624
"759","TEX",1112497,13906,"29.1","29.2","101","102","0","1","10",7676500,"2:42","Rader and Valentine",1985,161,62,0.385
"760","TOR",2468925,30862,"27.8","28.9","104","102","0","4","17",9329217,"2:47","Cox",1985,161,99,0.615
"761","ATL",1387181,17126,"29.7","28.9","105","106","1","1","14",17102786,"2:43","Tanner",1986,161,72,0.447
"762","BAL",1973176,24977,"29.8","28.8","98","99","2","3","9",13001258,"2:51","Weaver",1986,162,73,0.451
"763","BOS",2147641,26514,"30.5","28.0","100","100","3","4","14",14402239,"2:53","McNamara",1986,161,95,0.59
"764","CAL",2655872,32389,"31.7","30.3","99","98","2","2","18",14427258,"2:50","Mauch",1986,162,92,0.568
"765","CHC",1859102,23239,"29.8","28.5","107","108","3","2","20",17208165,"2:50","Frey, Vukovich and Michael",1986,160,70,0.438
"766","CHW",1424313,17584,"27.3","28.1","104","104","3","1","13",10418819,"2:51","La Russa, Rader and Fregosi",1986,162,72,0.444
"767","CIN",1692432,20894,"30.8","27.9","104","103","2","2","12",11906388,"2:42","Rose",1986,162,86,0.531
"768","CLE",1471805,18170,"27.6","29.8","98","99","1","2","13",7809500,"2:56","Corrales",1986,163,84,0.518
"769","DET",1899437,23450,"30.4","28.9","100","99","0","3","14",12335714,"2:52","Anderson",1986,162,87,0.537
"770","HOU",1734276,21411,"29.9","30.7","97","96","1","4","14",9873276,"2:40","Lanier",1986,162,96,0.593
"771","KCR",2320794,28652,"30.8","27.3","101","101","1","2","14",13043698,"2:43","Howser and Ferraro",1986,162,76,0.469
"772","LAD",3023208,37324,"28.0","27.8","93","93","0","2","14",15213776,"2:48","Lasorda",1986,162,73,0.451
"773","MIL",1265041,15813,"29.1","26.2","103","104","2","1","8",9943642,"2:46","Bamberger and Trebelhorn",1986,161,77,0.478
"774","MIN",1255453,15499,"26.8","28.5","101","102","2","1","10",9498167,"2:51","Miller and Kelly",1986,162,71,0.438
"775","MON",1128981,14112,"27.4","27.5","100","100","1","3","10",11103600,"2:50","Rodgers",1986,161,78,0.484
"776","NYM",2767601,34168,"28.0","25.5","98","96","1","5","15",15393714,"2:55","Johnson",1986,162,108,0.667
"777","NYY",2268030,28350,"29.2","30.3","99","98","2","4","18",18494253,"2:56","Piniella",1986,162,90,0.556
"778","OAK",1314646,15839,"28.5","27.3","92","92","0","1","15",9779421,"2:53","Moore, Newman and La Russa",1986,162,76,0.469
"779","PHI",1933335,24167,"27.8","28.6","103","104","2","2","12",11590166,"2:45","Felske",1986,161,86,0.534
"780","PIT",1000917,12357,"27.2","28.5","102","103","0","2","10",10938500,"2:46","Leyland",1986,162,64,0.395
"781","SDP",1805716,22293,"29.2","28.1","98","98","2","1","12",11380693,"2:40","Boros",1986,162,74,0.457
"782","SEA",1029045,12549,"26.7","26.9","100","101","0","1","12",5958309,"2:52","Cottier, Martinez and Williams",1986,162,67,0.414
"783","SFG",1528748,18873,"26.9","29.3","95","95","1","3","15",8947000,"2:50","Craig",1986,162,83,0.512
"784","STL",2471974,30518,"27.4","28.6","100","98","1","1","8",9875010,"2:45","Herzog",1986,161,79,0.491
"785","TEX",1692002,20889,"27.2","26.4","102","103","0","1","11",6743119,"2:54","Valentine",1986,162,87,0.537
"786","TOR",2455477,30315,"28.4","27.7","103","101","0","3","16",12801047,"2:53","Williams",1986,163,86,0.531
"787","ATL",1217402,15030,"29.6","29.2","104","106","2","2","14",17444560,"2:46","Tanner",1987,161,69,0.429
"788","BAL",1835692,22386,"30.1","27.7","97","98","2","2","12",14250273,"2:53","Ripken",1987,162,67,0.414
"789","BOS",2231551,27894,"28.8","27.1","102","102","2","3","13",13770171,"2:58","McNamara",1987,162,78,0.481
"790","CAL",2696299,33288,"29.4","30.8","97","97","1","1","19",13855999,"2:53","Mauch",1987,162,75,0.463
"791","CHC",2035130,25439,"28.9","27.6","103","104","3","4","17",15473026,"2:58","Michael and Lucchesi",1987,161,76,0.472
"792","CHW",1208060,14914,"27.7","27.6","102","103","1","1","8",12135343,"2:53","Fregosi",1987,162,77,0.475
"793","CIN",2185205,26978,"28.9","28.3","104","103","1","3","14",9281500,"2:44","Rose",1987,162,84,0.518
"794","CLE",1077898,13307,"27.7","30.5","100","101","2","1","12",9033750,"2:56","Corrales and Edwards",1987,162,61,0.377
"795","DET",2061830,25455,"31.1","29.5","96","95","0","4","13",12122881,"2:56","Anderson",1987,162,98,0.605
"796","HOU",1909902,23579,"29.9","31.6","96","96","1","1","14",12758371,"2:43","Lanier",1987,162,76,0.469
"797","KCR",2392471,29537,"29.3","27.4","102","102","1","3","13",12513056,"2:48","Gardner and Wathan",1987,162,83,0.512
"798","LAD",2797409,34536,"28.2","27.9","98","98","0","2","16",14474737,"2:51","Lasorda",1987,162,73,0.451
"799","MIL",1909244,23571,"27.4","26.2","103","102","2","1","8",7293224,"2:57","Trebelhorn",1987,162,91,0.562
"800","MIN",2081976,25703,"27.8","31.4","103","103","3","1","12",10585000,"2:51","Kelly",1987,162,85,0.525
"801","MON",1850324,22844,"27.5","28.2","103","103","0","3","13",8877052,"2:47","Rodgers",1987,162,91,0.562
"802","NYM",3034129,37458,"28.0","25.8","95","93","1","4","14",13846714,"2:58","Johnson",1987,162,92,0.568
"803","NYY",2427672,29971,"29.8","32.1","99","99","2","5","18",19457714,"2:58","Piniella",1987,162,89,0.549
"804","OAK",1678921,20727,"27.7","28.1","93","93","2","2","18",12730839,"2:56","La Russa",1987,162,81,0.5
"805","PHI",2100110,25927,"28.6","28.2","103","104","1","3","12",12482997,"2:49","Felske and Elia",1987,162,80,0.494
"806","PIT",1161193,14336,"26.4","26.5","100","100","0","1","8",8789500,"2:48","Leyland",1987,162,80,0.494
"807","SDP",1454061,17951,"26.5","27.7","96","97","2","1","12",12065796,"2:44","Bowa",1987,162,65,0.401
"808","SEA",1134255,14003,"26.8","25.9","105","106","0","2","9",4623000,"2:46","Williams",1987,162,78,0.481
"809","SFG",1917168,23669,"27.9","29.1","96","95","0","1","20",8532500,"2:53","Craig",1987,162,90,0.556
"810","STL",3072122,37927,"28.1","27.9","102","102","1","3","12",11758000,"2:55","Herzog",1987,162,95,0.586
"811","TEX",1763053,21766,"26.3","27.6","100","100","0","1","9",5992718,"2:59","Valentine",1987,162,75,0.463
"812","TOR",2778429,34302,"27.8","27.8","102","101","1","3","18",10765401,"2:57","Williams",1987,162,96,0.593
"813","ATL",848089,10735,"28.9","27.4","104","106","3","1","14",13065674,"2:41","Tanner and Nixon",1988,160,54,0.338
"814","BAL",1660738,20759,"27.7","27.3","97","98","2","1","13",14389075,"2:50","Ripken and Robinson",1988,161,54,0.335
"815","BOS",2464851,30430,"28.8","28.7","104","104","2","3","13",14687092,"2:55","McNamara and Morgan",1988,162,89,0.549
"816","CAL",2340925,28900,"29.5","27.4","97","97","0","1","17",12249888,"2:56","Rojas and Stubing",1988,162,75,0.463
"817","CHC",2089034,25476,"27.6","27.1","105","105","4","6","17",13956698,"2:49","Zimmer",1988,163,77,0.475
"818","CHW",1115749,13775,"27.3","26.6","100","100","1","1","8",8537500,"2:51","Fregosi",1988,161,71,0.441
"819","CIN",2072528,25907,"27.5","26.7","104","104","1","3","17",9697409,"2:40","Rose and Helms",1988,161,87,0.54
"820","CLE",1411610,17427,"28.1","27.0","102","103","0","1","8",9261500,"2:47","Edwards",1988,162,78,0.481
"821","DET",2081162,25693,"32.1","31.1","96","96","0","2","12",13432071,"2:54","Anderson",1988,162,88,0.543
"822","HOU",1933505,23870,"29.5","33.1","96","96","2","1","13",12641167,"2:44","Lanier",1988,162,82,0.506
"823","KCR",2350181,29377,"29.5","29.0","101","101","1","3","15",14850062,"2:52","Wathan",1988,161,84,0.522
"824","LAD",2980262,36793,"29.0","29.2","98","97","1","1","12",17141015,"2:50","Lasorda",1988,162,94,0.584
"825","MIL",1923238,23744,"28.4","27.2","101","100","2","2","8",9502000,"2:46","Trebelhorn",1988,162,87,0.537
"826","MIN",3030672,37416,"28.5","30.0","102","102","3","5","13",13308966,"2:50","Kelly",1988,162,91,0.562
"827","MON",1478659,18255,"28.2","29.0","104","104","1","1","11",10046833,"2:51","Rodgers",1988,163,81,0.5
"828","NYM",3055445,38193,"27.8","26.6","95","93","1","4","13",15401814,"2:49","Johnson",1988,160,100,0.625
"829","NYY",2633701,32921,"30.5","32.3","99","99","2","3","17",20371152,"3:02","Martin and Piniella",1988,161,85,0.528
"830","OAK",2287335,28239,"28.0","28.8","97","96","1","5","15",10653833,"2:54","La Russa",1988,162,104,0.642
"831","PHI",1990041,24568,"29.0","29.0","101","103","1","2","11",13900500,"2:50","Elia and Vukovich",1988,162,65,0.404
"832","PIT",1866713,23046,"26.0","26.2","98","98","0","3","8",7128500,"2:49","Leyland",1988,160,85,0.531
"833","SDP",1506896,18604,"27.2","28.0","99","99","2","1","10",10723502,"2:39","Bowa and McKeon",1988,161,83,0.515
"834","SEA",1022398,12622,"27.0","26.4","104","105","0","1","9",7754950,"2:46","Williams and Snyder",1988,161,68,0.422
"835","SFG",1785297,22041,"28.3","31.1","96","95","0","2","20",12822500,"2:48","Craig",1988,162,83,0.512
"836","STL",2892799,35714,"28.1","28.9","101","101","1","4","13",13192500,"2:47","Herzog",1988,162,76,0.469
"837","TEX",1581901,19530,"26.7","28.0","102","102","0","1","9",6385631,"2:55","Valentine",1988,161,70,0.435
"838","TOR",2595175,32039,"27.4","28.9","100","98","0","1","15",14412725,"2:54","Williams",1988,162,87,0.537
"839","ATL",984930,12467,"28.1","25.4","102","103","2","1","12",11180334,"2:43","Nixon",1989,161,63,0.394
"840","BAL",2535208,31299,"27.1","26.9","96","97","1","2","8",10916401,"3:01","Robinson",1989,162,87,0.537
"841","BOS",2510012,30988,"29.5","29.5","107","106","2","2","10",18556748,"2:57","Morgan",1989,162,83,0.512
"842","CAL",2647291,32683,"29.8","29.1","98","98","1","2","16",15097833,"2:51","Rader",1989,162,91,0.562
"843","CHC",2491942,30765,"27.7","27.2","108","108","3","4","10",11918000,"2:50","Zimmer",1989,162,93,0.574
"844","CHW",1045651,13071,"27.6","26.4","97","98","1","1","11",8565410,"2:56","Torborg",1989,161,69,0.429
"845","CIN",1979320,24436,"28.0","28.1","104","103","1","3","17",11717000,"2:40","Rose and Helms",1989,162,75,0.463
"846","CLE",1285542,15871,"27.1","28.5","101","102","0","2","6",9894500,"2:44","Edwards and Hart",1989,162,73,0.451
"847","DET",1543656,19057,"30.9","31.0","98","99","0","1","12",15669304,"2:55","Anderson",1989,162,59,0.364
"848","HOU",1834908,22377,"29.0","33.0","97","97","1","2","13",15579500,"2:53","Howe",1989,162,86,0.531
"849","KCR",2477700,30589,"30.3","27.7","100","100","1","2","16",18914068,"2:46","Wathan",1989,162,92,0.568
"850","LAD",2944653,36354,"29.8","28.5","99","98","1","4","14",21071562,"2:51","Lasorda",1989,160,77,0.481
"851","MIL",1970735,24330,"28.4","27.9","99","99","2","1","9",12716000,"2:49","Trebelhorn",1989,162,81,0.5
"852","MIN",2277438,28117,"29.4","28.0","107","107","1","2","9",16806666,"2:44","Kelly",1989,162,80,0.494
"853","MON",1783533,22019,"28.9","30.5","101","101","1","2","14",13807389,"2:54","Rodgers",1989,162,81,0.5
"854","NYM",2918710,36033,"27.5","27.5","95","93","1","2","16",19885071,"2:51","Johnson",1989,162,87,0.537
"855","NYY",2170485,26796,"28.6","29.2","99","100","2","2","12",17114375,"2:52","Green and Dent",1989,161,74,0.46
"856","OAK",2667225,32929,"29.3","30.0","97","95","2","5","17",16314265,"2:51","La Russa",1989,162,99,0.611
"857","PHI",1861985,22987,"29.0","27.8","99","101","1","2","11",10779000,"2:47","Leyva",1989,163,67,0.414
"858","PIT",1374141,16965,"27.0","28.1","96","96","0","1","10",13992500,"2:49","Leyland",1989,164,74,0.457
"859","SDP",2009031,24803,"27.9","29.2","101","100","2","3","13",15295000,"2:43","McKeon",1989,162,89,0.549
"860","SEA",1298443,16030,"26.7","26.1","103","104","1","1","11",10099500,"2:48","Lefebvre",1989,162,73,0.451
"861","SFG",2059701,25428,"28.5","31.6","97","96","1","3","19",15040834,"2:46","Craig",1989,162,92,0.568
"862","STL",3080980,37120,"29.3","28.2","103","103","1","4","13",16078833,"2:47","Herzog",1989,164,86,0.531
"863","TEX",2043993,25234,"27.1","29.8","102","102","1","4","17",11893781,"2:59","Valentine",1989,162,83,0.512
"864","TOR",3375883,41678,"27.9","29.0","95","94","0","2","18",16586666,"2:54","Williams and Gaston",1989,162,89,0.549
"865","ATL",980129,12100,"27.4","25.8","105","106","2","1","13",15065501,"2:48","Nixon and Cox",1990,162,65,0.401
"866","BAL",2415189,30190,"27.3","26.2","97","97","1","2","10",10100084,"3:03","Robinson",1990,161,76,0.472
"867","BOS",2528986,31222,"29.1","30.6","104","104","1","3","13",20858333,"2:58","Morgan",1990,162,88,0.543
"868","CAL",2555688,31552,"29.8","28.1","97","97","2","2","17",22417500,"2:58","Rader",1990,162,80,0.494
"869","CHC",2243791,27701,"28.2","26.1","108","108","3","3","8",14599000,"2:44","Zimmer",1990,162,77,0.475
"870","CHW",2002357,25029,"27.5","24.9","98","98","2","2","11",10721500,"3:01","Torborg",1990,162,94,0.58
"871","CIN",2400892,29641,"27.5","27.4","105","105","1","5","13",14470000,"2:42","Piniella",1990,162,91,0.562
"872","CLE",1225240,15126,"27.4","28.1","99","100","0","3","10",15208000,"2:45","McNamara",1990,162,77,0.475
"873","DET",1495785,18466,"30.6","30.4","101","102","0","2","12",18393238,"2:59","Anderson",1990,162,79,0.488
"874","HOU",1310927,16184,"28.4","31.8","97","98","1","1","11",18752500,"2:48","Howe",1990,162,75,0.463
"875","KCR",2244956,27716,"29.7","27.3","98","98","1","1","18",24161084,"2:50","Wathan",1990,161,75,0.466
"876","LAD",3002396,37067,"29.7","28.2","97","97","1","2","16",22018704,"2:51","Lasorda",1990,162,86,0.531
"877","MIL",1752900,21641,"29.4","28.6","99","99","2","1","8",20149167,"2:56","Trebelhorn",1990,162,74,0.457
"878","MIN",1751584,21624,"29.4","27.1","106","106","1","1","6",15272000,"2:41","Kelly",1990,162,74,0.457
"879","MON",1373087,16952,"27.7","29.3","96","96","0","2","9",17334888,"2:54","Rodgers",1990,162,85,0.525
"880","NYM",2732745,33738,"27.5","28.0","100","99","0","3","13",21922834,"2:52","Johnson and Harrelson",1990,162,91,0.562
"881","NYY",2006436,24771,"28.2","29.1","100","101","1","1","10",21312318,"2:57","Dent and Merrill",1990,162,67,0.414
"882","OAK",2900217,35805,"29.2","31.7","95","94","2","5","19",20087501,"2:54","La Russa",1990,162,103,0.636
"883","PHI",1992484,24599,"28.6","26.5","99","100","0","1","12",13740167,"2:52","Leyva",1990,162,77,0.475
"884","PIT",2049908,25308,"27.7","28.9","96","95","0","3","12",15556000,"2:48","Leyland",1990,162,95,0.586
"885","SDP",1856396,22918,"28.7","29.5","101","101","2","3","13",17788334,"2:46","McKeon and Riddoch",1990,162,75,0.463
"886","SEA",1509727,18639,"27.9","26.9","100","100","1","2","12",12867667,"2:52","Lefebvre",1990,162,77,0.475
"887","SFG",1975528,24389,"29.1","29.5","96","96","1","4","17",21565333,"2:50","Craig",1990,162,85,0.525
"888","STL",2573225,31768,"29.4","29.8","100","100","1","1","12",21048334,"2:47","Herzog, Schoendienst and Torre",1990,162,70,0.432
"889","TEX",2057911,25096,"27.6","30.3","100","100","1","1","12",15597872,"2:57","Valentine",1990,162,83,0.512
"890","TOR",3885284,47966,"27.0","29.0","106","105","0","3","14",18259334,"2:56","Gaston",1990,162,86,0.531
"891","ATL",2140217,26422,"28.0","27.1","106","106","2","1","14",18403500,"2:52","Cox",1991,162,94,0.58
"892","BAL",2552753,31515,"28.3","27.4","96","97","1","1","10",17519000,"3:02","Robinson and Oates",1991,162,67,0.414
"893","BOS",2562435,31635,"29.1","30.8","105","105","1","3","13",35167500,"2:59","Morgan",1991,162,84,0.518
"894","CAL",2416236,29830,"30.8","27.9","99","100","1","2","12",33060001,"2:53","Rader and Rodgers",1991,162,81,0.5
"895","CHC",2314250,27883,"28.9","27.5","104","105","3","3","11",23380667,"2:51","Zimmer, Altobelli and Essian",1991,160,77,0.481
"896","CHW",2934154,36224,"27.7","26.7","98","97","2","3","15",16919667,"3:07","Torborg",1991,162,87,0.537
"897","CIN",2372377,29289,"28.2","27.6","104","104","1","5","12",26305333,"2:48","Piniella",1991,162,74,0.457
"898","CLE",1051863,12828,"25.6","26.8","101","102","0","1","10",17635000,"2:46","McNamara and Hargrove",1991,162,57,0.352
"899","DET",1641661,20267,"29.2","30.8","102","102","0","1","9",23838333,"3:06","Anderson",1991,162,84,0.518
"900","HOU",1196152,14767,"26.1","26.4","93","94","1","2","12",12852500,"2:53","Howe",1991,162,65,0.401
"901","KCR",2161537,26686,"28.6","27.6","100","101","1","1","12",26319834,"2:55","Wathan, Schaefer and McRae",1991,162,82,0.506
"902","LAD",3348170,41335,"30.2","30.2","98","97","2","5","16",32790664,"2:59","Lasorda",1991,162,93,0.574
"903","MIL",1478729,18484,"30.1","27.0","98","98","2","1","9",23115500,"2:57","Trebelhorn",1991,162,83,0.512
"904","MIN",2293842,28319,"29.1","28.6","105","104","1","4","9",23361833,"2:47","Kelly",1991,162,95,0.586
"905","MON",934742,13746,"27.7","28.4","99","99","0","2","8",10732333,"2:53","Rodgers and Runnells",1991,161,71,0.441
"906","NYM",2284484,27860,"29.1","28.0","99","99","0","2","14",32590001,"2:54","Harrelson and Cubbage",1991,161,77,0.478
"907","NYY",1863733,23009,"27.8","29.5","100","101","0","1","10",27344168,"3:00","Merrill",1991,162,71,0.438
"908","OAK",2713493,33500,"29.9","30.9","94","93","2","5","19",36999167,"3:02","La Russa",1991,162,84,0.518
"909","PHI",2050012,24699,"29.0","26.7","99","99","0","1","12",22487332,"2:50","Leyva and Fregosi",1991,162,78,0.481
"910","PIT",2065302,24587,"28.1","28.4","99","97","0","2","10",23634667,"2:48","Leyland",1991,162,98,0.605
"911","SDP",1804289,22275,"28.0","29.0","103","103","1","2","12",22150001,"2:47","Riddoch",1991,162,84,0.518
"912","SEA",2147905,26517,"28.1","27.5","100","100","1","1","10",15691833,"2:54","Lefebvre",1991,162,83,0.512
"913","SFG",1737478,21450,"28.4","28.9","96","97","0","1","17",30967666,"2:50","Craig",1991,162,75,0.463
"914","STL",2448699,29151,"28.5","29.4","100","100","1","3","11",21860001,"2:45","Torre",1991,162,84,0.518
"915","TEX",2297720,28367,"27.8","29.0","98","99","2","3","14",18224500,"3:05","Valentine",1991,162,85,0.525
"916","TOR",4001527,49402,"27.6","28.2","104","103","1","3","16",19902417,"2:55","Gaston and Tenace",1991,162,91,0.562
"917","ATL",3077400,37993,"28.4","27.5","107","105","2","4","16",34625333,"2:50","Cox",1992,162,98,0.605
"918","BAL",3567819,44047,"28.5","27.9","101","101","1","3","9",23891667,"3:04","Oates",1992,162,89,0.549
"919","BOS",2468574,30476,"28.9","31.5","106","106","1","2","13",43610584,"3:01","Hobson",1992,162,73,0.451
"920","CAL",2065444,25499,"28.1","28.8","100","100","1","1","11",34749334,"2:51","Rodgers and Wathan",1992,162,72,0.444
"921","CHC",2126720,26256,"28.3","27.2","103","103","3","2","11",29829686,"2:45","Lefebvre",1992,162,78,0.481
"922","CHW",2681156,32697,"28.7","28.9","99","98","2","2","14",30160833,"2:58","Lamont",1992,162,86,0.531
"923","CIN",2315946,28592,"27.9","28.1","104","104","1","2","11",35931499,"2:48","Piniella",1992,162,90,0.556
"924","CLE",1224094,15112,"25.9","27.0","98","99","0","3","11",9373044,"2:55","Hargrove",1992,162,76,0.469
"925","DET",1423963,17800,"29.9","29.6","100","100","0","1","7",27322834,"3:02","Anderson",1992,162,75,0.463
"926","HOU",1211412,14956,"26.4","27.1","95","96","1","2","10",15407500,"2:54","Howe",1992,162,81,0.5
"927","KCR",1867689,23058,"28.9","27.1","102","102","1","1","13",33893834,"2:47","McRae",1992,162,72,0.444
"928","LAD",2473266,30534,"28.4","31.2","99","99","1","1","16",44788166,"2:54","Lasorda",1992,162,63,0.389
"929","MIL",1857351,22930,"29.7","27.5","98","98","2","1","12",31013667,"2:57","Garner",1992,162,92,0.568
"930","MIN",2482428,30647,"28.7","27.7","102","102","1","3","7",28027834,"2:53","Kelly",1992,162,90,0.556
"931","MON",1669127,20607,"27.4","28.0","100","99","1","2","12",15822334,"2:54","Runnells and Alou",1992,162,87,0.537
"932","NYM",1779534,21970,"30.0","28.2","99","100","1","1","14",44602002,"2:56","Torborg",1992,162,72,0.444
"933","NYY",1748737,21589,"28.3","29.5","99","99","0","1","11",37652334,"3:00","Showalter",1992,162,76,0.469
"934","OAK",2494160,30792,"30.2","32.0","94","94","3","3","20",41035000,"3:03","La Russa",1992,162,96,0.593
"935","PHI",1927448,23796,"27.7","26.8","100","100","0","2","12",24492834,"2:48","Fregosi",1992,162,70,0.432
"936","PIT",1829395,22585,"28.7","29.2","100","99","0","2","9",33944167,"2:51","Leyland",1992,162,96,0.593
"937","SDP",1721406,21252,"28.4","29.1","102","102","1","5","9",26854167,"2:46","Riddoch and Riggleman",1992,162,82,0.506
"938","SEA",1651367,20387,"28.3","27.4","100","100","1","2","12",23304833,"2:54","Plummer",1992,162,64,0.395
"939","SFG",1560998,19272,"28.1","28.2","95","95","0","1","10",33163168,"2:51","Craig",1992,162,72,0.444
"940","STL",2418483,29858,"28.6","28.7","97","97","1","4","12",27583836,"2:51","Torre",1992,162,83,0.512
"941","TEX",2198231,27139,"27.4","29.6","97","97","1","3","15",30128167,"3:01","Valentine and Harrah",1992,162,77,0.475
"942","TOR",4028318,49732,"29.3","30.0","104","103","2","3","20",44788666,"3:00","Gaston",1992,162,96,0.593
"943","ATL",3884720,47960,"28.8","26.8","100","99","3","5","17",41641417,"2:49","Cox",1993,162,104,0.642
"944","BAL",3644965,45000,"29.4","28.4","104","103","1","2","13",29096500,"3:03","Oates",1993,162,85,0.525
"945","BOS",2422021,29901,"29.7","30.6","106","107","1","1","11",37120583,"2:59","Hobson",1993,162,80,0.494
"946","CAL",2057460,25401,"27.3","28.8","102","103","0","1","10",28588334,"2:53","Rodgers",1993,162,71,0.438
"947","CHC",2653763,32363,"28.0","28.3","97","97","1","2","10",39386666,"2:43","Lefebvre",1993,163,84,0.518
"948","CHW",2581091,31865,"28.9","26.6","98","97","2","2","18",39696166,"2:53","Lamont",1993,162,94,0.58
"949","CIN",2453232,30287,"28.4","27.9","100","99","1","2","13",44879666,"2:41","Perez and Johnson",1993,162,73,0.451
"950","CLE",2177908,26888,"27.2","27.3","100","100","0","2","11",18561000,"2:56","Hargrove",1993,162,76,0.469
"951","COL",4483350,55350,"27.7","27.1","116","118","0","1","9",10353500,"2:51","Baylor",1993,162,67,0.414
"952","DET",1971421,24339,"30.7","30.1","99","99","0","2","9",38150165,"3:07","Anderson",1993,162,85,0.525
"953","FLA",3064847,37838,"27.7","29.7","104","105","0","2","10",19330545,"2:52","Lachemann",1993,162,64,0.395
"954","HOU",2084618,25736,"27.1","28.3","95","95","1","1","13",30210500,"2:48","Howe",1993,162,85,0.525
"955","KCR",1934578,23884,"30.0","27.4","106","106","1","1","11",41455167,"2:48","McRae",1993,162,84,0.518
